repayment_id,loan_id,customer_id,total_installments_due,installments_paid,total_amount_paid,principal_paid,interest_paid,last_payment_date,overdue_days,delinquency_bucket,default_flag,default_date
REP-300000,LN-200000,CUST-100000,39,39,14846.44,10385.76,4460.68,2024-11-26,0,Current,0,
REP-300001,LN-200001,CUST-100001,43,42,10286.46,7097.44,3189.02,2024-10-29,7,1-30 DPD (SMA-0),0,
REP-300002,LN-200002,CUST-100002,32,31,25454.58,19137.05,6317.53,2024-10-30,19,1-30 DPD (SMA-0),0,
REP-300003,LN-200003,CUST-100003,12,5,4599.56,3521.56,1078.0,2023-06-17,327,90+ DPD (NPA / Default),1,2023-09-15
REP-300004,LN-200004,CUST-100004,32,32,23530.55,18656.03,4874.52,2024-12-14,0,Current,0,
REP-300005,LN-200005,CUST-100005,24,22,57909.65,42216.82,15692.83,2024-06-25,35,31-60 DPD (SMA-1),0,
REP-300006,LN-200006,CUST-100006,18,18,5646.31,3853.38,1792.93,2024-12-14,0,Current,0,
REP-300007,LN-200007,CUST-100007,12,12,17575.19,13109.38,4465.81,2022-03-28,0,Current,0,
REP-300008,LN-200008,CUST-100008,24,23,37419.13,28272.34,9146.79,2024-02-15,30,1-30 DPD (SMA-0),0,
REP-300009,LN-200009,CUST-100009,24,5,4456.88,3387.74,1069.14,2022-06-19,294,90+ DPD (NPA / Default),1,2022-09-17
REP-300010,LN-200010,CUST-100010,12,9,9193.4,7311.75,1881.65,2024-05-18,63,61-90 DPD (SMA-2),0,
REP-300011,LN-200011,CUST-100011,44,43,22941.01,17703.83,5237.18,2024-10-31,7,1-30 DPD (SMA-0),0,
REP-300012,LN-200012,CUST-100012,18,16,14374.09,11103.08,3271.01,2024-09-27,55,31-60 DPD (SMA-1),0,
REP-300013,LN-200013,CUST-100013,40,38,22938.79,18760.45,4178.34,2024-09-19,35,31-60 DPD (SMA-1),0,
REP-300014,LN-200014,CUST-100014,14,12,3753.19,2948.19,805.0,2024-10-20,43,31-60 DPD (SMA-1),0,
REP-300015,LN-200015,CUST-100015,21,20,13821.37,10571.62,3249.75,2024-11-20,17,1-30 DPD (SMA-0),0,
REP-300016,LN-200016,CUST-100016,18,18,49236.12,39906.83,9329.29,2024-12-18,0,Current,0,
REP-300017,LN-200017,CUST-100017,27,27,36485.88,25329.07,11156.81,2024-12-16,0,Current,0,
REP-300018,LN-200018,CUST-100018,33,32,7383.84,5103.41,2280.43,2024-11-03,20,1-30 DPD (SMA-0),0,
REP-300019,LN-200019,CUST-100019,41,41,20034.97,15342.84,4692.13,2024-11-25,0,Current,0,
REP-300020,LN-200020,CUST-100020,29,27,29519.43,23024.03,6495.4,2024-10-16,36,31-60 DPD (SMA-1),0,
REP-300021,LN-200021,CUST-100021,34,34,38450.27,31018.93,7431.34,2024-11-18,0,Current,0,
REP-300022,LN-200022,CUST-100022,13,13,20240.13,16293.55,3946.58,2024-12-06,0,Current,0,
REP-300023,LN-200023,CUST-100023,31,31,9273.22,6583.7,2689.52,2024-12-15,0,Current,0,
REP-300024,LN-200024,CUST-100024,34,34,37577.03,30655.53,6921.5,2024-12-05,0,Current,0,
REP-300025,LN-200025,CUST-100025,20,20,7559.23,6028.01,1531.22,2024-11-22,0,Current,0,
REP-300026,LN-200026,CUST-100026,18,18,6997.8,4924.32,2073.48,2024-12-07,0,Current,0,
REP-300027,LN-200027,CUST-100027,38,38,31134.39,24522.84,6611.55,2024-12-01,0,Current,0,
REP-300028,LN-200028,CUST-100028,12,12,19354.2,13579.28,5774.92,2024-12-17,0,Current,0,
REP-300029,LN-200029,CUST-100029,12,11,3287.43,2479.31,808.12,2023-03-04,28,1-30 DPD (SMA-0),0,
