customer_id,age,gender,city,annual_income,visit_frequency,avg_purchase_value,online_activity_score,membership_years,discount_usage,monthly_spending,loyal_customer
CUST-10000,43,Male,New York,98681.76,9,203.1,75.7,5.4,0.43,1981.65,1
CUST-10001,36,Male,Los Angeles,33647.13,11,50.24,76.4,1.2,0.51,577.35,1
CUST-10002,45,Male,Austin,63014.21,8,63.71,73.4,5.6,0.5,629.0,0
CUST-10003,56,Male,Miami,32348.57,5,64.83,58.6,2.7,,442.72,0
CUST-10004,35,Female,Los Angeles,31110.22,6,83.12,71.7,3.2,0.59,533.62,1
CUST-10005,35,Male,Houston,63207.82,10,134.51,56.0,0.9,0.43,1431.95,0
CUST-10006,56,Male,Chicago,101505.16,10,260.14,84.3,12.9,0.58,2526.7,1
CUST-10007,47,Female,Houston,42489.93,6,56.32,48.8,0.6,0.4,456.09,0
CUST-10008,32,Male,Los Angeles,56036.33,6,83.18,76.9,5.3,0.45,631.25,1
CUST-10009,44,Female,Los Angeles,35266.42,12,44.26,67.2,9.0,0.48,564.51,1
CUST-10010,32,Female,San Francisco,76121.1,6,118.13,84.6,4.3,0.5,870.83,0
CUST-10011,32,Male,Miami,75263.06,8,137.26,71.3,5.5,0.48,1192.92,1
CUST-10012,40,Female,Seattle,100599.99,5,147.43,62.4,0.9,0.41,962.96,0
CUST-10013,18,Female,New York,96056.58,9,120.45,63.2,0.5,0.23,1302.44,0
CUST-10014,18,Male,Miami,37778.34,1,75.87,78.3,0.5,0.63,145.48,0
CUST-10015,31,Male,Los Angeles,45012.59,8,123.51,67.1,1.1,0.5,1041.46,0
CUST-10016,25,Female,Chicago,84667.95,6,110.8,74.3,1.8,0.58,778.41,0
CUST-10017,41,Female,Boston,97569.58,10,222.61,61.6,3.9,0.35,2319.32,1
CUST-10018,27,Female,Chicago,52197.65,4,123.98,70.4,1.9,0.53,596.92,0
CUST-10019,21,Male,New York,59101.92,5,85.42,87.0,1.1,0.67,434.29,0
CUST-10020,55,Female,New York,131101.63,10,325.72,65.4,8.2,0.24,3424.51,1
CUST-10021,35,Male,Chicago,47515.72,12,120.39,49.6,1.1,0.45,1506.02,1
CUST-10022,38,Female,Miami,74732.68,7,129.51,69.2,7.5,0.4,1062.59,1
CUST-10023,20,Female,Austin,55652.85,6,81.44,100.0,0.6,0.64,597.23,1
CUST-10024,31,Female,Miami,30483.48,11,82.2,61.8,4.7,0.55,907.47,1
CUST-10025,39,Female,Seattle,151645.32,11,266.07,90.2,8.2,0.23,3227.99,1
CUST-10026,24,Female,San Francisco,80539.59,5,104.65,77.6,2.2,0.47,747.65,0
CUST-10027,42,Female,Boston,45567.48,3,63.71,71.6,6.7,0.75,304.37,0
CUST-10028,30,Male,New York,36486.65,4,78.51,62.9,3.7,0.71,334.75,0
CUST-10029,34,Female,Boston,34109.16,10,55.57,88.5,4.6,0.85,587.03,0
