customer_id,age,gender,region,city_tier,employment_status,employment_length_years,annual_income,credit_score,housing_status,marital_status,existing_debts_count
CUST-100000,41,Male,South,Tier 1,Salaried - Public Sector,8.0,21459.09,724,Owned,Married,1
CUST-100001,35,Male,South,Tier 1,Contractual,3.0,18519.11,612,Mortgaged,Divorced,1
CUST-100002,43,Female,West,Tier 1,Self-Employed Professional,10.0,65457.61,616,Rented,Married,2
CUST-100003,52,Male,Central,Tier 3,Contractual,0.0,25160.19,554,Rented,Single,4
CUST-100004,34,Female,West,Tier 2,Salaried - Public Sector,2.0,116246.58,619,Rented,Married,2
CUST-100005,34,Male,West,Tier 2,Salaried - Corporate,1.0,40273.63,636,Rented,Married,1
CUST-100006,52,Male,West,Tier 3,Self-Employed Professional,0.0,33519.07,693,Rented,Married,2
CUST-100007,44,Male,South,Tier 1,Salaried - Corporate,18.0,83362.45,752,Owned,Married,3
CUST-100008,32,Male,West,Tier 1,Salaried - Corporate,7.0,78682.64,695,Mortgaged,Married,4
CUST-100009,42,Female,West,Tier 2,Salaried - Public Sector,2.0,54299.84,652,Rented,Single,0
CUST-100010,32,Male,South,Tier 3,Salaried - Corporate,1.0,35755.69,666,Rented,Married,0
CUST-100011,32,Male,South,Rural,Salaried - Corporate,1.0,15092.82,537,Mortgaged,Married,1
CUST-100012,39,Male,West,Tier 1,Salaried - Corporate,0.0,77732.55,678,Rented,Single,0
CUST-100013,21,Male,West,Tier 3,Self-Employed Business,0.0,53051.8,674,Family Owned,Married,4
CUST-100014,21,Female,South,Tier 3,Salaried - Corporate,0.0,18358.25,561,Owned,Married,1
CUST-100015,31,Male,West,Tier 1,Salaried - Corporate,6.0,94191.22,670,Rented,Married,1
CUST-100016,26,Female,West,Tier 2,Self-Employed Business,5.0,121882.89,808,Family Owned,Married,1
CUST-100017,40,Female,North,Tier 1,Salaried - Corporate,5.0,93094.08,731,Mortgaged,Married,1
CUST-100018,27,Male,West,Tier 2,Contractual,6.0,22401.76,529,Mortgaged,Married,1
CUST-100019,22,Male,North,Tier 3,Salaried - Corporate,1.0,45377.97,629,Mortgaged,Married,0
CUST-100020,51,Female,North,Tier 3,Self-Employed Business,2.0,29254.51,644,Family Owned,Married,3
CUST-100021,34,Female,East,Tier 2,Salaried - Corporate,0.0,27099.17,740,Rented,Married,3
CUST-100022,37,Male,Central,Tier 3,Salaried - Corporate,5.0,38670.77,707,Rented,Married,2
CUST-100023,22,Male,North,Tier 1,Self-Employed Business,1.0,33218.71,698,Family Owned,Single,0
CUST-100024,31,Male,West,Tier 1,Contractual,10.0,32935.39,653,Rented,Single,1
CUST-100025,38,Male,South,Tier 1,Self-Employed Professional,4.0,83381.4,655,Mortgaged,Married,0
CUST-100026,25,Male,West,Tier 3,Self-Employed Business,4.0,30951.23,726,Owned,Single,6
CUST-100027,40,Male,West,Tier 3,Salaried - Corporate,19.0,107232.55,794,Rented,Married,0
CUST-100028,30,Male,West,Tier 2,Self-Employed Professional,4.0,46203.67,730,Rented,Married,2
CUST-100029,34,Male,West,Rural,Salaried - Public Sector,12.0,40022.83,766,Rented,Divorced,5
CUST-100030,30,Male,West,Tier 2,Salaried - Public Sector,4.0,45416.27,742,Rented,Married,3
CUST-100031,55,Female,North,Tier 2,Salaried - Public Sector,0.0,71381.51,679,Owned,Single,1
CUST-100032,36,Female,South,Tier 2,Salaried - Corporate,15.0,45831.73,717,Mortgaged,Married,1
CUST-100033,26,Female,North,Tier 3,Self-Employed Professional,0.0,23204.07,638,Owned,Divorced,0
CUST-100034,45,Male,West,Tier 1,Salaried - Corporate,7.0,86666.31,751,Owned,Single,1
CUST-100035,24,Female,North,Tier 1,Salaried - Public Sector,1.0,34934.51,666,Owned,Married,2
CUST-100036,39,Male,North,Tier 1,Salaried - Corporate,13.0,46087.6,706,Owned,Single,2
CUST-100037,21,Female,West,Tier 3,Self-Employed Professional,1.0,36537.8,648,Owned,Married,3
CUST-100038,23,Male,West,Tier 3,Salaried - Corporate,0.0,32082.31,637,Family Owned,Married,4
CUST-100039,38,Male,West,Tier 1,Salaried - Corporate,3.0,59227.8,694,Family Owned,Single,1
CUST-100040,44,Female,North,Tier 3,Salaried - Corporate,4.0,32836.93,715,Owned,Single,0
CUST-100041,38,Male,South,Tier 2,Salaried - Corporate,10.0,57688.95,657,Owned,Single,2
CUST-100042,35,Female,South,Tier 2,Salaried - Corporate,8.0,38564.39,679,Mortgaged,Divorced,3
