loan_id,customer_id,loan_type,loan_amount,interest_rate,loan_term_months,disbursement_date,collateral_type,collateral_value,loan_purpose,origination_channel
LN-200000,CUST-100000,Auto Loan,15444.39,8.5,48,2021-09-13,Vehicle,16755.38,New Car,Digital Portal
LN-200001,CUST-100001,Auto Loan,13673.58,8.77,72,2021-05-18,Vehicle,14465.9,New Car,Mobile App
LN-200002,CUST-100002,Auto Loan,33338.8,8.46,48,2022-04-14,Vehicle,40973.55,Commercial Vehicle,Digital Portal
LN-200003,CUST-100003,Personal Loan,9943.9,19.74,12,2023-01-18,None,0.0,Debt Consolidation,Mobile App
LN-200004,CUST-100004,Auto Loan,35415.03,9.01,60,2022-04-29,Vehicle,38090.73,Used Car,Branch Network
LN-200005,CUST-100005,Business Loan,54560.55,14.49,24,2022-09-04,None,0.0,Equipment Purchase,Digital Portal
LN-200006,CUST-100006,Auto Loan,15499.66,7.92,60,2023-06-23,Vehicle,19488.51,Commercial Vehicle,Tele-Sales
LN-200007,CUST-100007,Personal Loan,16380.5,13.2,12,2021-04-02,None,,Medical Emergency,Branch Network
LN-200008,CUST-100008,Personal Loan,31603.53,21.19,24,2022-03-27,None,,Medical Emergency,Branch Network
LN-200009,CUST-100009,Personal Loan,17433.33,20.48,24,2022-01-20,None,0.0,Wedding/Travel,Branch Network
LN-200010,CUST-100010,Personal Loan,11079.68,19.08,12,2023-08-22,None,,Debt Consolidation,Branch Network
LN-200011,CUST-100011,Home Loan,65432.65,8.65,300,2021-04-20,Residential Property,104418.04,Refinancing,DSA / Direct Selling Agent
LN-200012,CUST-100012,Auto Loan,28176.91,9.18,36,2023-06-05,Vehicle,31199.22,New Car,Mobile App
LN-200013,CUST-100013,Education Loan,38081.54,8.53,84,2021-08-06,Third Party Guarantee,38081.54,Professional Certification,Digital Portal
LN-200014,CUST-100014,Auto Loan,11925.81,11.78,48,2023-10-26,Vehicle,13311.82,New Car,Digital Portal
LN-200015,CUST-100015,Personal Loan,22942.16,19.42,48,2023-03-31,None,0.0,Home Improvement,Digital Portal
LN-200016,CUST-100016,Home Loan,475951.6,5.61,360,2023-06-27,Residential Property,588449.31,Home Purchase,Mobile App
LN-200017,CUST-100017,Home Loan,218778.59,6.28,360,2022-09-28,Residential Property,314726.92,Home Construction,Branch Network
LN-200018,CUST-100018,Auto Loan,13235.18,11.59,84,2022-03-19,Vehicle,16745.08,New Car,Digital Portal
LN-200019,CUST-100019,Auto Loan,21873.1,12.19,60,2021-07-14,Vehicle,27169.67,Used Car,Branch Network
LN-200020,CUST-100020,Business Loan,40326.86,13.57,48,2022-07-29,Equipment,52548.83,Working Capital,Tele-Sales
LN-200021,CUST-100021,Home Loan,140273.34,7.51,240,2022-02-02,Residential Property,176903.71,Home Purchase,DSA / Direct Selling Agent
LN-200022,CUST-100022,Home Loan,168157.82,7.48,180,2023-11-12,Residential Property,242076.26,Home Construction,Mobile App
LN-200023,CUST-100023,Auto Loan,13610.98,11.47,60,2022-05-30,Vehicle,15106.32,New Car,Branch Network
LN-200024,CUST-100024,Home Loan,171100.14,6.71,360,2022-02-19,Residential Property,261168.85,Refinancing,Branch Network
LN-200025,CUST-100025,Auto Loan,22703.49,10.09,84,2023-04-02,Vehicle,24775.9,Commercial Vehicle,Digital Portal
LN-200026,CUST-100026,Personal Loan,16793.98,13.77,60,2023-06-16,None,0.0,Debt Consolidation,Branch Network
LN-200027,CUST-100027,Auto Loan,38939.54,9.58,60,2021-10-18,Vehicle,45151.37,Commercial Vehicle,Branch Network
LN-200028,CUST-100028,Home Loan,190761.8,6.03,180,2023-12-23,Residential Property,273804.89,Home Purchase,Digital Portal
LN-200029,CUST-100029,Personal Loan,3266.06,17.63,12,2022-04-08,None,,Debt Consolidation,Branch Network
LN-200030,CUST-100030,Personal Loan,4162.28,14.59,60,2022-08-19,None,0.0,Debt Consolidation,Branch Network
LN-200031,CUST-100031,Personal Loan,19652.38,17.42,60,2023-07-03,None,0.0,Home Improvement,DSA / Direct Selling Agent
LN-200032,CUST-100032,Personal Loan,11886.4,15.66,12,2022-04-08,None,0.0,Medical Emergency,Mobile App
LN-200033,CUST-100033,Auto Loan,16927.17,9.97,36,2021-10-23,Vehicle,20623.07,Commercial Vehicle,DSA / Direct Selling Agent
LN-200034,CUST-100034,Personal Loan,16838.23,14.54,12,2022-03-14,None,0.0,Debt Consolidation,Branch Network
LN-200035,CUST-100035,Personal Loan,8252.07,14.02,24,2022-05-24,None,0.0,Wedding/Travel,Mobile App
LN-200036,CUST-100036,Personal Loan,16507.78,12.84,60,2022-03-20,None,0.0,Medical Emergency,Branch Network
LN-200037,CUST-100037,Home Loan,114234.37,8.77,180,2022-05-17,Residential Property,179410.42,Home Purchase,Branch Network
LN-200038,CUST-100038,Personal Loan,7213.39,15.12,48,2022-07-02,None,0.0,Medical Emergency,DSA / Direct Selling Agent
LN-200039,CUST-100039,Personal Loan,3079.75,15.85,48,2021-07-30,None,,Wedding/Travel,Digital Portal
LN-200040,CUST-100040,Auto Loan,20079.91,11.83,84,2022-02-23,Vehicle,24406.48,Used Car,Tele-Sales
LN-200041,CUST-100041,Personal Loan,12671.87,21.61,60,2021-02-10,None,,Medical Emergency,Branch Network
LN-200042,CUST-100042,Auto Loan,18429.92,10.34,84,2022-02-17,Vehicle,23587.47,Commercial Vehicle,Branch Network
LN-200043,CUST-100043,Personal Loan,11153.55,13.18,24,2022-03-12,None,,Medical Emergency,Mobile App
LN-200044,CUST-100044,Home Loan,159602.67,6.53,180,2023-04-27,Residential Property,251635.71,Refinancing,Branch Network
LN-200045,CUST-100045,Home Loan,103834.32,8.3,360,2022-10-03,Residential Property,151904.34,Refinancing,Digital Portal
LN-200046,CUST-100046,Home Loan,90534.6,7.76,300,2022-04-15,Residential Property,117285.26,Home Construction,Mobile App
LN-200047,CUST-100047,Home Loan,190760.67,6.77,180,2021-06-13,Residential Property,229623.62,Refinancing,Branch Network
LN-200048,CUST-100048,Home Loan,598243.4,6.02,240,2022-05-12,Residential Property,838948.95,Home Purchase,DSA / Direct Selling Agent
LN-200049,CUST-100049,Home Loan,336145.25,8.81,300,2022-10-22,Residential Property,441693.17,Home Construction,Digital Portal
LN-200050,CUST-100050,Home Loan,207277.0,7.71,180,2022-10-06,Residential Property,304105.47,Refinancing,Digital Portal
LN-200051,CUST-100051,Personal Loan,15117.49,21.93,24,2021-03-02,None,0.0,Wedding/Travel,Branch Network
LN-200052,CUST-100052,Home Loan,97293.45,8.04,300,2022-10-20,Residential Property,127717.35,Home Purchase,Digital Portal
LN-200053,CUST-100053,Auto Loan,16806.74,10.68,60,2021-09-29,Vehicle,19770.64,Used Car,Digital Portal
LN-200054,CUST-100054,Personal Loan,13804.98,13.52,48,2021-09-20,None,0.0,Wedding/Travel,Branch Network
LN-200055,CUST-100055,Business Loan,53225.39,11.66,48,2022-06-30,Equipment,74328.85,Equipment Purchase,Branch Network
LN-200056,CUST-100056,Auto Loan,48654.41,8.29,48,2023-01-08,Vehicle,57723.48,Used Car,Digital Portal
LN-200057,CUST-100057,Home Loan,216642.2,5.74,300,2022-09-20,Residential Property,291570.21,Home Purchase,Mobile App
LN-200058,CUST-100058,Personal Loan,10772.83,13.19,12,2021-02-05,None,0.0,Wedding/Travel,Branch Network
LN-200059,CUST-100059,Auto Loan,32760.56,9.46,84,2023-03-23,Vehicle,40536.91,New Car,Digital Portal
LN-200060,CUST-100060,Auto Loan,73572.36,11.26,72,2021-11-11,Vehicle,77706.88,Commercial Vehicle,Digital Portal
LN-200061,CUST-100061,Personal Loan,25136.62,16.93,24,2023-06-14,None,0.0,Wedding/Travel,Branch Network
LN-200062,CUST-100062,Auto Loan,57076.69,9.4,36,2023-09-15,Vehicle,72181.94,New Car,Branch Network
LN-200063,CUST-100063,Auto Loan,37958.49,8.67,48,2022-09-28,Vehicle,41971.88,Commercial Vehicle,Branch Network
LN-200064,CUST-100064,Personal Loan,8648.77,21.15,36,2023-09-04,None,0.0,Wedding/Travel,Branch Network
LN-200065,CUST-100065,Personal Loan,17788.1,20.9,60,2021-06-13,None,0.0,Wedding/Travel,Digital Portal
LN-200066,CUST-100066,Personal Loan,7267.64,19.54,24,2023-12-08,None,,Wedding/Travel,Digital Portal
LN-200067,CUST-100067,Auto Loan,10081.2,8.73,60,2022-12-04,Vehicle,11685.1,Commercial Vehicle,Branch Network
LN-200068,CUST-100068,Auto Loan,29189.1,8.82,36,2021-09-12,Vehicle,35820.75,New Car,Mobile App
LN-200069,CUST-100069,Education Loan,19222.73,11.27,60,2023-02-04,None,0.0,Domestic Degree,Branch Network
LN-200070,CUST-100070,Auto Loan,19341.9,9.51,60,2021-03-22,Vehicle,23516.79,New Car,Digital Portal
LN-200071,CUST-100071,Auto Loan,31895.69,9.68,72,2021-12-02,Vehicle,36091.43,Commercial Vehicle,Digital Portal
